OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
101,7037,9/26/2021 5:00:00 AM,400,2021,9/26/2021 5:00:00 AM,400,2021,Night,Sunday,7,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
102,9249,2/27/2023 5:00:00 AM,200,2023,2/27/2023 5:00:00 AM,1900,2023,Evening,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,MAJOR,371343.692900004,5023582.96899946
103,7037,9/27/2021 5:00:00 AM,500,2021,9/27/2021 5:00:00 AM,500,2021,Night,Monday,1,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,NONE,372232.734000004,5023437.50899946
104,10431,5/1/2022 5:00:00 AM,1600,2022,5/1/2022 5:00:00 AM,1600,2022,Afternoon,Sunday,7,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.03,,375022.721100005,5035730.59999946
105,4683,2/23/2022 5:00:00 AM,200,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
106,7483,2/24/2022 5:00:00 AM,1000,2022,2/23/2022 5:00:00 AM,2200,2022,Evening,Wednesday,3,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375617.724100005,5035425.59509946
107,2306,8/3/2021 5:00:00 AM,800,2021,8/3/2021 5:00:00 AM,800,2021,Morning,Tuesday,2,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,376519.727900006,5035506.59209946
108,4683,10/1/2021 5:00:00 AM,500,2021,10/1/2021 5:00:00 AM,500,2021,Night,Friday,5,Rothwell Heights - Beacon Hill North,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050120.02,,375869.771000005,5034694.83809946
109,10408,1/21/2019 5:00:00 AM,200,2019,1/21/2019 5:00:00 AM,2000,2019,Evening,Monday,1,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,NONE,375078.734000006,5031346.56189946
110,7768,6/23/2022 5:00:00 AM,200,2022,6/23/2022 5:00:00 AM,2300,2022,Evening,Thursday,4,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,,375379.735100005,5031470.56299946
111,5245,5/30/2021 5:00:00 AM,0,2021,5/30/2021 5:00:00 AM,0,2021,Night,Sunday,7,Pineview,32,East,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,5050122.02,FATAL,374645.380700005,5031325.75179946
112,2428,12/22/2021 5:00:00 AM,1900,2021,12/22/2021 5:00:00 AM,1900,2021,Evening,Wednesday,3,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380526.747900006,5034753.56899946
113,11431,3/16/2019 5:00:00 AM,1200,2019,3/16/2019 5:00:00 AM,1200,2019,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,,380775.747900008,5035166.57009946
114,3138,6/12/2021 5:00:00 AM,1900,2021,6/12/2021 5:00:00 AM,1600,2021,Afternoon,Saturday,6,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.09,MAJOR,380383.747900008,5034666.56899946
115,10577,3/6/2018 5:00:00 AM,600,2018,3/6/2018 5:00:00 AM,300,2018,Night,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,,355949.749000001,5015816.02409946
116,12218,9/7/2021 5:00:00 AM,1400,2021,9/7/2021 5:00:00 AM,1400,2021,Afternoon,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,,354754.627099999,5016013.43809946
117,12218,9/6/2021 5:00:00 AM,200,2021,9/6/2021 5:00:00 AM,2200,2021,Evening,Monday,1,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,MAJOR,354754.627099999,5016013.43809946
118,10268,7/3/2018 5:00:00 AM,200,2018,7/3/2018 5:00:00 AM,2200,2018,Evening,Tuesday,2,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
119,10268,8/4/2023 5:00:00 AM,200,2023,8/4/2023 5:00:00 AM,2100,2023,Evening,Friday,5,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
120,4321,11/22/2021 5:00:00 AM,800,2021,11/21/2021 5:00:00 AM,2200,2021,Evening,Sunday,7,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372733.004900004,5024218.70489946
121,10268,9/22/2023 5:00:00 AM,200,2023,9/22/2023 5:00:00 AM,2200,2023,Evening,Friday,5,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,,372195.573100005,5024135.32799946
122,6456,9/5/2022 5:00:00 AM,200,2022,9/5/2022 5:00:00 AM,2300,2022,Evening,Monday,1,Hunt Club Upper -Blossom Park - Timbermill,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.02,MINOR,373336.740000005,5023445.50899946
123,4576,2/25/2021 5:00:00 AM,200,2021,2/25/2021 5:00:00 AM,2000,2021,Evening,Thursday,4,Briar Green - Leslie Park,15,West,Ward 8 - College,Laine Johnson,5050137.04,NONE,361122.517000001,5022352.16899946
124,6345,5/14/2021 5:00:00 AM,1900,2021,5/14/2021 5:00:00 AM,1900,2021,Evening,Friday,5,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,,368167.712900003,5026222.53209946
125,13848,8/12/2022 5:00:00 AM,500,2022,8/12/2022 5:00:00 AM,500,2022,Night,Friday,5,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,,368905.717000003,5025668.52709946
126,4310,1/15/2019 5:00:00 AM,200,2019,1/3/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368601.715100003,5025810.52789946
127,6345,3/23/2021 5:00:00 AM,1100,2021,9/17/2020 5:00:00 AM,300,2020,Night,Thursday,4,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368167.712900003,5026222.53209946
128,1786,8/22/2020 5:00:00 AM,200,2020,8/22/2020 5:00:00 AM,2000,2020,Evening,Saturday,6,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,MINOR,367554.718100003,5026515.83889946
129,6345,9/18/2020 5:00:00 AM,1500,2020,9/14/2020 5:00:00 AM,1400,2020,Afternoon,Monday,1,Riverside Park,34,East,Ward 16 - River,Riley Brockington,5050003.00,NONE,368167.712900003,5026222.53209946
130,9872,8/9/2021 5:00:00 AM,1800,2021,8/9/2021 5:00:00 AM,1800,2021,Evening,Monday,1,Playfair Park - Lynda Park - Guildwood Estates,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.01,MINOR,371462.724900004,5027872.54299946
131,4089,2/4/2018 5:00:00 AM,100,2018,2/4/2018 5:00:00 AM,100,2018,Night,Sunday,7,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,NONE,367007.709000002,5021297.49099946
132,5295,11/12/2022 5:00:00 AM,1500,2022,11/12/2022 5:00:00 AM,1500,2022,Afternoon,Saturday,6,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,MAJOR,365826.701900002,5020437.48299946
133,1858,6/10/2023 5:00:00 AM,600,2023,6/10/2023 5:00:00 AM,100,2023,Night,Saturday,6,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366424.735500004,5020783.58029946
134,8471,10/5/2022 5:00:00 AM,200,2022,10/5/2022 5:00:00 AM,2000,2022,Evening,Wednesday,3,Orléans Queenswood Heights,31,East,Ward 1 - Orléans East-Cumberland,Matthew Luloff,5050170.03,MINOR,383056.750100007,5037933.57999946
135,1404,6/10/2023 5:00:00 AM,300,2023,6/10/2023 5:00:00 AM,100,2023,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,367943.703000002,5032442.58599946
136,4662,2/21/2023 5:00:00 AM,100,2023,2/21/2023 5:00:00 AM,100,2023,Night,Tuesday,2,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,FATAL,368389.704900003,5032597.58709946
137,10558,12/18/2021 5:00:00 AM,100,2021,12/18/2021 5:00:00 AM,100,2021,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368042.704100002,5032503.58709946
138,33306,5/25/2023 5:00:00 AM,200,2023,5/25/2023 5:00:00 AM,2300,2023,Evening,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,367866.786200002,5032275.26129946
139,1404,9/6/2021 5:00:00 AM,100,2021,9/6/2021 5:00:00 AM,0,2021,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,NONE,367943.703000002,5032442.58599946
140,8276,12/22/2021 5:00:00 AM,700,2021,12/22/2021 5:00:00 AM,700,2021,Morning,Wednesday,3,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368374.511000002,5032329.97399946
141,33306,8/26/2022 5:00:00 AM,400,2022,8/26/2022 5:00:00 AM,400,2022,Night,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MINOR,367866.786200002,5032275.26129946
142,10559,10/18/2023 5:00:00 AM,1200,2023,10/18/2023 5:00:00 AM,1200,2023,Afternoon,Wednesday,3,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,368262.704100003,5032521.58599946
143,7392,12/23/2018 5:00:00 AM,200,2018,12/23/2018 5:00:00 AM,2200,2018,Evening,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MINOR,368047.972100003,5032233.51999946
144,5274,10/22/2022 5:00:00 AM,300,2022,10/22/2022 5:00:00 AM,300,2022,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368000.703000002,5032573.58709946
145,10558,4/22/2023 5:00:00 AM,400,2023,4/22/2023 5:00:00 AM,400,2023,Night,Saturday,6,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,368042.704100002,5032503.58709946
146,6209,7/1/2019 5:00:00 AM,300,2019,7/1/2019 5:00:00 AM,300,2019,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,NONE,368157.704100003,5032315.58489946
147,1404,10/23/2022 5:00:00 AM,600,2022,10/23/2022 5:00:00 AM,600,2022,Morning,Sunday,7,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,367943.703000002,5032442.58599946
148,1404,5/3/2022 5:00:00 AM,0,2022,5/3/2022 5:00:00 AM,0,2022,Night,Tuesday,2,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,,367943.703000002,5032442.58599946
149,12861,6/7/2019 5:00:00 AM,200,2019,6/7/2019 5:00:00 AM,2100,2019,Evening,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367930.704100003,5032342.58489946
150,1404,10/10/2022 5:00:00 AM,200,2022,10/10/2022 5:00:00 AM,200,2022,Night,Monday,1,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,367943.703000002,5032442.58599946
151,10558,6/19/2020 5:00:00 AM,100,2020,6/19/2020 5:00:00 AM,100,2020,Night,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368042.704100002,5032503.58709946
152,6358,2/11/2021 5:00:00 AM,1600,2021,2/11/2021 5:00:00 AM,1600,2021,Afternoon,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,MAJOR,368207.454000003,5032227.18189946
153,33306,4/18/2019 5:00:00 AM,200,2019,4/18/2019 5:00:00 AM,200,2019,Night,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367866.786200002,5032275.26129946
154,8276,2/1/2019 5:00:00 AM,1700,2019,2/1/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,NONE,368374.511000002,5032329.97399946
155,5996,9/21/2018 5:00:00 AM,1200,2018,9/21/2018 5:00:00 AM,1100,2018,Morning,Friday,5,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050053.00,,368511.706000002,5032413.58489946
156,2623,8/26/2018 5:00:00 AM,0,2018,8/26/2018 5:00:00 AM,0,2018,Night,Sunday,7,Hunt Club Woods - Quintarra - Revelstoke,35,East,Ward 16 - River,Riley Brockington,5050002.06,NONE,368281.715100002,5022891.50489946
157,12121,3/12/2018 5:00:00 AM,200,2018,3/12/2018 5:00:00 AM,2000,2018,Evening,Monday,1,Carlingwood West - Glabar Park - McKellar Heights,14,West,Ward 7 - Bay,Theresa Kavanagh,5050031.00,MINOR,361217.822700003,5025952.93129946
158,8023,2/2/2022 5:00:00 AM,200,2022,2/2/2022 5:00:00 AM,2100,2022,Evening,Wednesday,3,Woodroffe - Lincoln Heights,14,West,Ward 7 - Bay,Theresa Kavanagh,5050031.00,MINOR,361293.882300001,5026223.88009946
159,7328,2/26/2021 5:00:00 AM,1800,2021,2/26/2021 5:00:00 AM,1800,2021,Evening,Friday,5,Carlingwood West - Glabar Park - McKellar Heights,14,West,Ward 16 - River,Riley Brockington,5050025.00,MINOR,363590.692100002,5026701.53589946
160,7409,4/1/2020 5:00:00 AM,1400,2020,4/1/2020 5:00:00 AM,1400,2020,Afternoon,Wednesday,3,Ottawa South,22,Central,Ward 17 - Capital,Shawn Menard,5050020.01,NONE,367767.893800003,5027976.19859946
161,4883,8/23/2020 5:00:00 AM,1700,2020,8/23/2020 5:00:00 AM,1700,2020,Afternoon,Sunday,7,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,15,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050135.03,MAJOR,361983.681900003,5021005.48489946
162,15809,8/26/2021 5:00:00 AM,1500,2021,8/26/2021 5:00:00 AM,1500,2021,Afternoon,Thursday,4,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,MAJOR,376188.063800006,5021348.67709946
163,6215,8/21/2021 5:00:00 AM,300,2021,8/21/2021 5:00:00 AM,300,2021,Night,Saturday,6,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,,372980.967800004,5020081.92499946
164,7150,4/12/2023 5:00:00 AM,1900,2023,4/12/2023 5:00:00 AM,1900,2023,Evening,Wednesday,3,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,,374010.024900005,5019208.54299946
165,3968,1/19/2018 5:00:00 AM,200,2018,1/19/2018 5:00:00 AM,2000,2018,Evening,Friday,5,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,MAJOR,374399.493900004,5019429.13209946
166,969,6/8/2022 5:00:00 AM,200,2022,6/8/2022 5:00:00 AM,2100,2022,Evening,Wednesday,3,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,MAJOR,373933.744900005,5020393.48709946
167,649,9/17/2023 5:00:00 AM,200,2023,9/17/2023 5:00:00 AM,2200,2023,Evening,Sunday,7,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.03,,375217.957000006,5019917.58599946
168,11291,6/3/2023 5:00:00 AM,100,2023,6/3/2023 5:00:00 AM,100,2023,Night,Saturday,6,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,,364728.698100002,5024304.51589946
169,8211,1/24/2019 5:00:00 AM,200,2019,1/24/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,MINOR,365267.700000003,5024908.52109946
170,6271,2/11/2018 5:00:00 AM,1000,2018,2/5/2018 5:00:00 AM,1300,2018,Afternoon,Monday,1,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,FATAL,365289.700000003,5025022.52189946
171,5387,11/20/2019 5:00:00 AM,800,2019,11/20/2019 5:00:00 AM,600,2019,Morning,Wednesday,3,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,MAJOR,364739.096500002,5024009.30959946
172,12573,7/23/2020 5:00:00 AM,200,2020,7/23/2020 5:00:00 AM,2300,2020,Evening,Thursday,4,Glen Cairn - Kanata South Business Park,13,West,Ward 23 - Kanata South,Allan Hubley,5050162.01,NONE,353446.620000001,5016935.44709946
173,14880,7/29/2020 5:00:00 AM,200,2020,7/29/2020 5:00:00 AM,2000,2020,Evening,Wednesday,3,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050151.08,NONE,354701.1521,5015649.73009946
174,11103,8/13/2022 5:00:00 AM,200,2022,8/13/2022 5:00:00 AM,200,2022,Night,Saturday,6,Glen Cairn - Kanata South Business Park,13,West,Ward 23 - Kanata South,Allan Hubley,5050162.02,MINOR,353059.6181,5017267.45009946
175,11392,5/27/2018 5:00:00 AM,900,2018,5/27/2018 5:00:00 AM,900,2018,Morning,Sunday,7,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366064.704100002,5022022.49699946
176,12915,12/21/2023 5:00:00 AM,1400,2023,12/21/2023 5:00:00 AM,1400,2023,Afternoon,Thursday,4,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366150.704100002,5021836.49509946
177,12916,12/14/2021 5:00:00 AM,1900,2021,12/14/2021 5:00:00 AM,1900,2021,Evening,Tuesday,2,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366254.704900002,5021899.49589946
178,11300,7/14/2020 5:00:00 AM,900,2020,7/13/2020 5:00:00 AM,1700,2020,Afternoon,Monday,1,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,366863.180000003,5022828.03209946
179,10012,1/7/2022 5:00:00 AM,1300,2022,1/7/2022 5:00:00 AM,1300,2022,Afternoon,Friday,5,Hunt Club South Industrial,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,,367388.339800004,5022365.06419946
180,115,4/24/2023 5:00:00 AM,1900,2023,4/24/2023 5:00:00 AM,1900,2023,Evening,Monday,1,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 19 - Orléans South-Navan,Catherine Kitts,5050171.07,,385921.027100011,5036745.67399946
181,163,10/26/2019 5:00:00 AM,500,2019,10/26/2019 5:00:00 AM,500,2019,Night,Saturday,6,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,31,East,Ward 19 - Orléans South-Navan,Catherine Kitts,5050171.10,MAJOR,384607.594000009,5035260.01699946
182,10770,9/18/2020 5:00:00 AM,1000,2020,9/18/2020 5:00:00 AM,1000,2020,Morning,Friday,5,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.05,NONE,381765.747100009,5036888.57889946
183,10906,10/4/2019 5:00:00 AM,300,2019,10/4/2019 5:00:00 AM,300,2019,Night,Friday,5,Orléans Chapel Hill,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.07,,380755.744100007,5036275.57889946
184,12270,6/1/2018 5:00:00 AM,200,2018,5/31/2018 5:00:00 AM,200,2018,Night,Thursday,4,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.05,NONE,381315.744100008,5037215.58409946
185,10880,3/29/2019 5:00:00 AM,,2019,3/29/2019 5:00:00 AM,,2019,,Friday,5,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.08,,381556.751000009,5035446.56899946
186,8162,3/5/2023 5:00:00 AM,700,2023,3/5/2023 5:00:00 AM,700,2023,Morning,Sunday,7,Orléans Village - Chateauneuf,31,East,Ward 2 - Orléans West-Innes,Laura Dudas,5050125.08,MINOR,382637.755900009,5035567.56409946
187,3948,7/3/2021 5:00:00 AM,0,2021,7/2/2021 5:00:00 AM,2300,2021,Evening,Friday,5,Sandy Hill - Ottawa East,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050051.00,MAJOR,369068.751200003,5031986.47279946
188,14654,10/20/2019 5:00:00 AM,600,2019,10/20/2019 5:00:00 AM,600,2019,Morning,Sunday,7,Sandy Hill - Ottawa East,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050050.00,,368750.707900003,5031694.57809946
189,7844,8/22/2018 5:00:00 AM,400,2018,8/22/2018 5:00:00 AM,400,2018,Night,Wednesday,3,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,373563.007000003,5025875.16209946
190,11881,2/21/2022 5:00:00 AM,1800,2022,2/21/2022 5:00:00 AM,1800,2022,Evening,Monday,1,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,FATAL,372676.535400005,5025829.62619946
191,5093,4/16/2018 5:00:00 AM,1200,2018,4/15/2018 5:00:00 AM,2300,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,371775.731000002,5024703.51809946
192,7550,7/7/2018 5:00:00 AM,200,2018,7/7/2018 5:00:00 AM,2300,2018,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,373300.747700004,5025082.85509946
193,12495,7/5/2018 5:00:00 AM,200,2018,7/5/2018 5:00:00 AM,2300,2018,Evening,Thursday,4,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,NONE,372747.534000005,5025381.34299946
194,45,11/13/2018 5:00:00 AM,1900,2018,11/13/2018 5:00:00 AM,1900,2018,Evening,Tuesday,2,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,,372976.206000005,5025902.63889946
195,13477,4/3/2023 5:00:00 AM,300,2023,4/3/2023 5:00:00 AM,300,2023,Night,Monday,1,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MAJOR,371951.731000003,5025153.52189946
196,3026,6/15/2019 5:00:00 AM,1800,2019,6/15/2019 5:00:00 AM,1800,2019,Evening,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MAJOR,372370.732900005,5025399.52299946
197,10786,5/27/2018 5:00:00 AM,1900,2018,5/27/2018 5:00:00 AM,1900,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,FATAL,372073.732100003,5024695.51809946
198,9598,5/25/2023 5:00:00 AM,200,2023,5/25/2023 5:00:00 AM,2300,2023,Evening,Thursday,4,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,,372263.732900005,5024785.51889946
199,14910,1/16/2021 5:00:00 AM,300,2021,1/16/2021 5:00:00 AM,300,2021,Night,Saturday,6,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,FATAL,372592.914000004,5025136.16299946
200,14910,8/30/2021 5:00:00 AM,0,2021,8/29/2021 5:00:00 AM,2100,2021,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.05,MINOR,372592.914000004,5025136.16299946
